"articulo_wikipedia","link_completo","links"
"Elena Sánchez Valenzuela","http://ces.colmex.mx/pdfs/gabriela/Las%20mujeres%20en%20el%20M%C3%A9xico%20del%20siglo%20XX.%20Una%20cronolog%C3%ADa%20m%C3%ADninma.pdf ","http://ces.colmex.mx/pdfs/gabriela/Las%20mujeres%20en%20el%20M%C3%A9xico%20del%20siglo%20XX.%20Una%20cronolog%C3%ADa%20m%C3%ADninma.pdf "
"Usuaria:Marikazetari/Taller","http://ces.colmex.mx/pdfs/gabriela/g_cano_2.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_2.pdf "
"Amelio Robles Ávila","http://ces.colmex.mx/pdfs/gabriela/g_cano_2.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_2.pdf "
"Laureana Wright de Kleinhans","http://ces.colmex.mx/pdfs/gabriela/g_cano_8.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_8.pdf "
"María Asunción Sandoval","http://ces.colmex.mx/pdfs/gabriela/g_cano_8.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_8.pdf "
"Elena Arizmendi Mejía","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf "
"Sofía Villa de Buentello","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf "
"Liga Internacional de Mujeres Ibéricas e Hispanoamericanas","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf "
"El Colegio de México","http://ces.colmex.mx/pdfs/orlandina.pdf ","http://ces.colmex.mx/pdfs/orlandina.pdf "
"Rodolfo Stavenhagen","http://ces.colmex.mx/pdfs/stavensiete.pdf ","http://ces.colmex.mx/pdfs/stavensiete.pdf "
"Ciencias Históricas","http://cmch.colmex.mx/ ","http://cmch.colmex.mx/ "
"Discusión:Español ribereño","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000570173&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA ","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000570173&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA "
"Anexo:Embajadores de México en España","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000568454&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA ","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000568454&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA "
"Español ecuatorial","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000570173&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA ","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000570173&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA "
"¡Ay Jherusalem!","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000575725&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA ","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000575725&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA "
"¡Ay Jherusalem!","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000575723&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA ","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000575723&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA "
"Español de la Costa norte del Perú","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000570173&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA ","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000570173&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA "
"Discusión:Español ecuatorial","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000570173&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA ","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000570173&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA "
"Discusión:¡Ay Jherusalem!","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000575723&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA ","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000575723&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA "
